character1,character2,lyric,song,act
HAMILTON,MULLIGAN,I am not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,I am not throwing away my shot,My Shot,1
LAURENS,MULLIGAN,I am not throwing away my shot,My Shot,1
LAFAYETTE,MULLIGAN,I am not throwing away my shot,My Shot,1
HAMILTON,LAURENS,I am not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,I am not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,I am not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,I am not throwing away my shot,My Shot,1
LAURENS,MULLIGAN,I am not throwing away my shot,My Shot,1
LAFAYETTE,MULLIGAN,I am not throwing away my shot,My Shot,1
HAMILTON,LAURENS,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
LAURENS,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
LAURENS,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
LAFAYETTE,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,LAURENS,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
LAURENS,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
LAURENS,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
LAFAYETTE,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,LAURENS,And I'm not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,And I'm not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
LAURENS,MULLIGAN,And I'm not throwing away my shot,My Shot,1
LAFAYETTE,MULLIGAN,And I'm not throwing away my shot,My Shot,1
HAMILTON,LAURENS,I am not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,I am not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,I am not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,I am not throwing away my shot,My Shot,1
LAURENS,MULLIGAN,I am not throwing away my shot,My Shot,1
LAFAYETTE,MULLIGAN,I am not throwing away my shot,My Shot,1
HAMILTON,LAURENS,I am not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,I am not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,I am not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,I am not throwing away my shot,My Shot,1
LAURENS,MULLIGAN,I am not throwing away my shot,My Shot,1
LAFAYETTE,MULLIGAN,I am not throwing away my shot,My Shot,1
HAMILTON,LAURENS,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
LAURENS,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
LAURENS,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
LAFAYETTE,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,LAURENS,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
LAURENS,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
LAURENS,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
LAFAYETTE,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,LAURENS,And I'm not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,And I'm not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
LAURENS,MULLIGAN,And I'm not throwing away my shot,My Shot,1
LAFAYETTE,MULLIGAN,And I'm not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,Whoa! Whoa! Whoa!,My Shot,1
HAMILTON,MULLIGAN,Whoa! Whoa! Whoa!,My Shot,1
LAFAYETTE,MULLIGAN,Whoa! Whoa! Whoa!,My Shot,1
HAMILTON,LAFAYETTE,Whoa!,My Shot,1
HAMILTON,MULLIGAN,Whoa!,My Shot,1
LAFAYETTE,MULLIGAN,Whoa!,My Shot,1
HAMILTON,LAFAYETTE,Whoa!,My Shot,1
HAMILTON,MULLIGAN,Whoa!,My Shot,1
LAFAYETTE,MULLIGAN,Whoa!,My Shot,1
HAMILTON,LAFAYETTE,Yea!,My Shot,1
HAMILTON,MULLIGAN,Yea!,My Shot,1
LAFAYETTE,MULLIGAN,Yea!,My Shot,1
HAMILTON,LAURENS,We're gonna rise up! Time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,We're gonna rise up! Time to take a shot!,My Shot,1
HAMILTON,MULLIGAN,We're gonna rise up! Time to take a shot!,My Shot,1
LAURENS,LAFAYETTE,We're gonna rise up! Time to take a shot!,My Shot,1
LAURENS,MULLIGAN,We're gonna rise up! Time to take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,We're gonna rise up! Time to take a shot!,My Shot,1
HAMILTON,LAURENS,We're gonna rise up! Time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,We're gonna rise up! Time to take a shot!,My Shot,1
HAMILTON,MULLIGAN,We're gonna rise up! Time to take a shot!,My Shot,1
LAURENS,LAFAYETTE,We're gonna rise up! Time to take a shot!,My Shot,1
LAURENS,MULLIGAN,We're gonna rise up! Time to take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,We're gonna rise up! Time to take a shot!,My Shot,1
HAMILTON,LAURENS,We're gonna,My Shot,1
HAMILTON,LAFAYETTE,We're gonna,My Shot,1
HAMILTON,MULLIGAN,We're gonna,My Shot,1
LAURENS,LAFAYETTE,We're gonna,My Shot,1
LAURENS,MULLIGAN,We're gonna,My Shot,1
LAFAYETTE,MULLIGAN,We're gonna,My Shot,1
HAMILTON,LAFAYETTE,Time to take a shot!,My Shot,1
HAMILTON,LAURENS,Time to take a shot!,My Shot,1
HAMILTON,MULLIGAN,Time to take a shot!,My Shot,1
LAFAYETTE,LAURENS,Time to take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,Time to take a shot!,My Shot,1
LAURENS,MULLIGAN,Time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,Time to take a shot!,My Shot,1
HAMILTON,LAURENS,Time to take a shot!,My Shot,1
HAMILTON,MULLIGAN,Time to take a shot!,My Shot,1
LAFAYETTE,LAURENS,Time to take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,Time to take a shot!,My Shot,1
LAURENS,MULLIGAN,Time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,Take a shot!,My Shot,1
HAMILTON,LAURENS,Take a shot!,My Shot,1
HAMILTON,MULLIGAN,Take a shot!,My Shot,1
LAFAYETTE,LAURENS,Take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,Take a shot!,My Shot,1
LAURENS,MULLIGAN,Take a shot!,My Shot,1
HAMILTON,LAFAYETTE,Shot!,My Shot,1
HAMILTON,LAURENS,Shot!,My Shot,1
HAMILTON,MULLIGAN,Shot!,My Shot,1
LAFAYETTE,LAURENS,Shot!,My Shot,1
LAFAYETTE,MULLIGAN,Shot!,My Shot,1
LAURENS,MULLIGAN,Shot!,My Shot,1
HAMILTON,LAFAYETTE,Shot!,My Shot,1
HAMILTON,LAURENS,Shot!,My Shot,1
HAMILTON,MULLIGAN,Shot!,My Shot,1
LAFAYETTE,LAURENS,Shot!,My Shot,1
LAFAYETTE,MULLIGAN,Shot!,My Shot,1
LAURENS,MULLIGAN,Shot!,My Shot,1
HAMILTON,LAFAYETTE,A-yo it's,My Shot,1
HAMILTON,LAURENS,A-yo it's,My Shot,1
HAMILTON,MULLIGAN,A-yo it's,My Shot,1
LAFAYETTE,LAURENS,A-yo it's,My Shot,1
LAFAYETTE,MULLIGAN,A-yo it's,My Shot,1
LAURENS,MULLIGAN,A-yo it's,My Shot,1
HAMILTON,LAFAYETTE,Time to take a shot!,My Shot,1
HAMILTON,LAURENS,Time to take a shot!,My Shot,1
HAMILTON,MULLIGAN,Time to take a shot!,My Shot,1
LAFAYETTE,LAURENS,Time to take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,Time to take a shot!,My Shot,1
LAURENS,MULLIGAN,Time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,Time to take a shot!,My Shot,1
HAMILTON,LAURENS,Time to take a shot!,My Shot,1
HAMILTON,MULLIGAN,Time to take a shot!,My Shot,1
LAFAYETTE,LAURENS,Time to take a shot!,My Shot,1
LAFAYETTE,MULLIGAN,Time to take a shot!,My Shot,1
LAURENS,MULLIGAN,Time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,And I am-,My Shot,1
HAMILTON,LAURENS,And I am-,My Shot,1
HAMILTON,MULLIGAN,And I am-,My Shot,1
LAFAYETTE,LAURENS,And I am-,My Shot,1
LAFAYETTE,MULLIGAN,And I am-,My Shot,1
LAURENS,MULLIGAN,And I am-,My Shot,1
HAMILTON,LAFAYETTE,Not throwin' away my-,My Shot,1
HAMILTON,MULLIGAN,Not throwin' away my-,My Shot,1
HAMILTON,LAURENS,Not throwin' away my-,My Shot,1
LAFAYETTE,MULLIGAN,Not throwin' away my-,My Shot,1
LAFAYETTE,LAURENS,Not throwin' away my-,My Shot,1
MULLIGAN,LAURENS,Not throwin' away my-,My Shot,1
LAFAYETTE,MULLIGAN,I may not live to see our glory!,The Story of Tonight,1
LAFAYETTE,LAURENS,I may not live to see our glory!,The Story of Tonight,1
MULLIGAN,LAURENS,I may not live to see our glory!,The Story of Tonight,1
LAFAYETTE,MULLIGAN,But I will gladly join the fight!,The Story of Tonight,1
LAFAYETTE,LAURENS,But I will gladly join the fight!,The Story of Tonight,1
MULLIGAN,LAURENS,But I will gladly join the fight!,The Story of Tonight,1
LAFAYETTE,MULLIGAN,And when our children tell our story...,The Story of Tonight,1
LAFAYETTE,LAURENS,And when our children tell our story...,The Story of Tonight,1
MULLIGAN,LAURENS,And when our children tell our story...,The Story of Tonight,1
LAURENS,MULLIGAN,Tomorrow there'll be more of us,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Telling the story of tonight,The Story of Tonight,1
MULLIGAN,LAURENS,Telling the story of tonight,The Story of Tonight,1
LAFAYETTE,LAURENS,Telling the story of tonight,The Story of Tonight,1
LAURENS,MULLIGAN,Raise a glass to freedom,The Story of Tonight,1
LAURENS,LAFAYETTE,Raise a glass to freedom,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Raise a glass to freedom,The Story of Tonight,1
LAURENS,MULLIGAN,Something they can never take away,The Story of Tonight,1
LAURENS,LAFAYETTE,Something they can never take away,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Something they can never take away,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Let's have another round tonight,The Story of Tonight,1
HAMILTON,LAURENS,Tomorrow there'll be more of us,The Story of Tonight,1
HAMILTON,MULLIGAN,Tomorrow there'll be more of us,The Story of Tonight,1
