character1,character2,lyric,song,act
BURR,HAMILTON,It's the Ten Duel Commandments,Ten Duel Commandments,1
BURR,LAURENS,It's the Ten Duel Commandments,Ten Duel Commandments,1
BURR,LEE,It's the Ten Duel Commandments,Ten Duel Commandments,1
HAMILTON,LAURENS,It's the Ten Duel Commandments,Ten Duel Commandments,1
HAMILTON,LEE,It's the Ten Duel Commandments,Ten Duel Commandments,1
LAURENS,LEE,It's the Ten Duel Commandments,Ten Duel Commandments,1
LAURENS,LEE,Your last chance to negotiate,Ten Duel Commandments,1
LAURENS,HAMILTON,Your last chance to negotiate,Ten Duel Commandments,1
LAURENS,BURR,Your last chance to negotiate,Ten Duel Commandments,1
LEE,HAMILTON,Your last chance to negotiate,Ten Duel Commandments,1
LEE,BURR,Your last chance to negotiate,Ten Duel Commandments,1
HAMILTON,BURR,Your last chance to negotiate,Ten Duel Commandments,1
LAURENS,LEE,"Send in your seconds, see if they can set the record straight...",Ten Duel Commandments,1
LAURENS,HAMILTON,"Send in your seconds, see if they can set the record straight...",Ten Duel Commandments,1
LAURENS,BURR,"Send in your seconds, see if they can set the record straight...",Ten Duel Commandments,1
LEE,HAMILTON,"Send in your seconds, see if they can set the record straight...",Ten Duel Commandments,1
LEE,BURR,"Send in your seconds, see if they can set the record straight...",Ten Duel Commandments,1
HAMILTON,BURR,"Send in your seconds, see if they can set the record straight...",Ten Duel Commandments,1
HAMILTON,BURR,Number,Ten Duel Commandments,1
HAMILTON,BURR,Fire!,Ten Duel Commandments,1
HAMILTON,WASHINGTON,"""History has its eyes on me.","""",Guns and Ships,1
LAURENS,MULLIGAN,Whoa...,History has its eyes on you,1
LAURENS,MULLIGAN,Whoa...,History has its eyes on you,1
LAURENS,MULLIGAN,Whoa...,History has its eyes on you,1
LAURENS,MULLIGAN,Yeah,History has its eyes on you,1
WASHINGTON,HAMILTON,History has its,History has its eyes on you,1
WASHINGTON,HAMILTON,Eyes on you.,History has its eyes on you,1
HAMILTON,LAFAYETTE,We get the job done,Yorktown,1
HAMILTON,LAURENS,We'll never be free until we end slavery!,Yorktown,1
HAMILTON,LAFAYETTE,In Chesapeake Bay!,Yorktown,1
MULLIGAN,LAFAYETTE,We won!,Yorktown,1
MULLIGAN,LAURENS,We won!,Yorktown,1
LAFAYETTE,LAURENS,We won!,Yorktown,1
MULLIGAN,LAFAYETTE,We won!,Yorktown,1
MULLIGAN,LAURENS,We won!,Yorktown,1
MULLIGAN,HAMILTON,We won!,Yorktown,1
MULLIGAN,WASHINGTON,We won!,Yorktown,1
LAFAYETTE,LAURENS,We won!,Yorktown,1
LAFAYETTE,HAMILTON,We won!,Yorktown,1
LAFAYETTE,WASHINGTON,We won!,Yorktown,1
LAURENS,HAMILTON,We won!,Yorktown,1
LAURENS,WASHINGTON,We won!,Yorktown,1
HAMILTON,WASHINGTON,We won!,Yorktown,1
BURR,HAMILTON,I'll make the world safe and sound for you...,Dear Theodosia,1
BURR,HAMILTON,...will come of age with our young nation,Dear Theodosia,1
BURR,HAMILTON,"We'll bleed and fight for you, we'll make it right for you",Dear Theodosia,1
BURR,HAMILTON,If we lay a strong enough foundation,Dear Theodosia,1
BURR,HAMILTON,"We'll pass it on to you, we'll give the world to you",Dear Theodosia,1
BURR,HAMILTON,And you'll blow us all away...,Dear Theodosia,1
BURR,HAMILTON,"Someday, someday",Dear Theodosia,1
BURR,HAMILTON,"Yeah, you'll blow us all away",Dear Theodosia,1
BURR,HAMILTON,"Someday, someday",Dear Theodosia,1
WASHINGTON,MULLIGAN,History has its eyes...,Non-Stop,1
WASHINGTON,LAURENS,History has its eyes...,Non-Stop,1
WASHINGTON,LAFAYETTE,History has its eyes...,Non-Stop,1
MULLIGAN,LAURENS,History has its eyes...,Non-Stop,1
MULLIGAN,LAFAYETTE,History has its eyes...,Non-Stop,1
LAURENS,LAFAYETTE,History has its eyes...,Non-Stop,1
WASHINGTON,MULLIGAN,On...,Non-Stop,1
WASHINGTON,LAURENS,On...,Non-Stop,1
WASHINGTON,LAFAYETTE,On...,Non-Stop,1
MULLIGAN,LAURENS,On...,Non-Stop,1
MULLIGAN,LAFAYETTE,On...,Non-Stop,1
LAURENS,LAFAYETTE,On...,Non-Stop,1
WASHINGTON,MULLIGAN,You...,Non-Stop,1
WASHINGTON,LAURENS,You...,Non-Stop,1
WASHINGTON,LAFAYETTE,You...,Non-Stop,1
MULLIGAN,LAURENS,You...,Non-Stop,1
MULLIGAN,LAFAYETTE,You...,Non-Stop,1
LAURENS,LAFAYETTE,You...,Non-Stop,1
