Source,Target,Type
ELIZA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
SEABURY,HAMILTON,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
WASHINGTON,COMPANY,group
WASHINGTON,COMPANY,group
ANGELICA,ELIZA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
ANGELICA,ELIZA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ANGELICA,WOMEN,group
ELIZA,PEGGY,twoCharacters
ELIZA,WOMEN,group
PEGGY,WOMEN,group
ELIZA,ANGELICA,twoCharacters
ELIZA,PEGGY,twoCharacters
ANGELICA,PEGGY,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,PEGGY,twoCharacters
ELIZA,WOMEN,group
ANGELICA,PEGGY,twoCharacters
ANGELICA,WOMEN,group
PEGGY,WOMEN,group
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,WOMEN,group
BURR,LAURENS,twoCharacters
BURR,WOMEN,group
LAURENS,WOMEN,group
ELIZA,WOMEN,group
ELIZA,WOMEN,group
ELIZA,WOMEN,group
HAMILTON,MEN,group
ELIZA,WOMEN,group
ANGELICA,COMPANY,group
ANGELICA,COMPANY,group
HAMILTON,MEN,group
ELIZA,WOMEN,group
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,HAMILTON,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,HAMILTON,twoCharacters
LAFAYETTE,HAMILTON,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
BURR,ENSEMBLE,group
ELIZA,ANGELICA,twoCharacters
ELIZA,WOMEN,group
ANGELICA,WOMEN,group
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
ELIZA,ANGELICA,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
BURR,HAMILTON,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LEE,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LEE,twoCharacters
LAURENS,LEE,twoCharacters
LAURENS,LEE,twoCharacters
LAURENS,HAMILTON,twoCharacters
LAURENS,BURR,twoCharacters
LEE,HAMILTON,twoCharacters
LEE,BURR,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,BURR,twoCharacters
LAFAYETTE,ENSEMBLE,group
WASHINGTON,COMPANY,group
WASHINGTON,COMPANY,group
WASHINGTON,COMPANY,group
WASHINGTON,COMPANY,group
HAMILTON,WASHINGTON,twoCharacters
LAURENS,MULLIGAN,twoCharacters
WASHINGTON,COMPANY,group
WASHINGTON,HAMILTON,twoCharacters
WASHINGTON,MEN,group
HAMILTON,MEN,group
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,COMPANY,group
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,HAMILTON,twoCharacters
MULLIGAN,WASHINGTON,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
LAFAYETTE,HAMILTON,twoCharacters
LAFAYETTE,WASHINGTON,twoCharacters
LAURENS,HAMILTON,twoCharacters
LAURENS,WASHINGTON,twoCharacters
HAMILTON,WASHINGTON,twoCharacters
BURR,HAMILTON,twoCharacters
BURR,ENSEMBLE,group
BURR,ENSEMBLE,group
BURR,MEN,group
BURR,COMPANY,group
BURR,MEN,group
WASHINGTON,MULLIGAN,twoCharacters
WASHINGTON,LAURENS,twoCharacters
WASHINGTON,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
WASHINGTON,ENSEMBLE,group
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
ELIZA,PHILIP,twoCharacters
HAMILTON,ANGELICA,twoCharacters
HAMILTON,ANGELICA,twoCharacters
HAMILTON,ANGELICA,twoCharacters
HAMILTON,ANGELICA,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,ANGELICA,twoCharacters
HAMILTON,ENSEMBLE,group
HAMILTON,ENSEMBLE,group
BURR,ENSEMBLE,group
BURR,ENSEMBLE,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
BURR,COMPANY,group
HAMILTON,COMPANY,group
HAMILTON,JEFFERSON,twoCharacters
HAMILTON,MADISON,twoCharacters
HAMILTON,WASHINGTON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,WASHINGTON,twoCharacters
MADISON,WASHINGTON,twoCharacters
BURR,COMPANY,group
PHILIP,ELIZA,twoCharacters
PHILIP,ELIZA,twoCharacters
JEFFERSON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
MADISON,JEFFERSON,twoCharacters
MADISON,BURR,twoCharacters
MADISON,JEFFERSON,twoCharacters
BURR,JEFFERSON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
JEFFERSON,ENSEMBLE,group
MADISON,BURR,twoCharacters
MADISON,ENSEMBLE,group
BURR,ENSEMBLE,group
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
BURR,COMPANY,group
JEFFERSON,MADISON,twoCharacters
BURR,JEFFERSON,twoCharacters
BURR,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
BURR,ENSEMBLE,group
WASHINGTON,ELIZA,twoCharacters
WASHINGTON,ANGELICA,twoCharacters
WASHINGTON,MARIA,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,MARIA,twoCharacters
ANGELICA,MARIA,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,ANGELICA,twoCharacters
MADISON,ANGELICA,twoCharacters
BURR,JEFFERSON,twoCharacters
BURR,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
HAMILTON,JEFFERSON,twoCharacters
MADISON,BURR,twoCharacters
MADISON,JEFFERSON,twoCharacters
BURR,JEFFERSON,twoCharacters
HAMILTON,JEFFERSON,twoCharacters
HAMILTON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
HAMILTON,JEFFERSON,twoCharacters
MADISON,BURR,twoCharacters
MADISON,BURR,twoCharacters
MADISON,BURR,twoCharacters
MADISON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,BURR,twoCharacters
MADISON,BURR,twoCharacters
HAMILTON,PHILIP,twoCharacters
ANGELICA,ENSEMBLE,group
ANGELICA,WOMEN,group
ANGELICA,WOMEN,group
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
JEFFERSON,MADISON,twoCharacters
MADISON,ENSEMBLE,group
JEFFERSON,MADISON,twoCharacters
JEFFERSON,ENSEMBLE,group
MADISON,ENSEMBLE,group
JEFFERSON,MADISON,twoCharacters
JEFFERSON,ENSEMBLE,group
MADISON,ENSEMBLE,group
JEFFERSON,MADISON,twoCharacters
JEFFERSON,ENSEMBLE,group
MADISON,ENSEMBLE,group
MADISON,JEFFERSON,twoCharacters
BURR,COMPANY,group
BURR,COMPANY,group
BURR,HAMILTON,twoCharacters
BURR,COMPANY,group
BURR,PHILIP,twoCharacters
BURR,HAMILTON,twoCharacters
BURR,MEN,group
HAMILTON,MEN,group
BURR,COMPANY,group
BURR,ANGELICA,twoCharacters
WASHINGTON,COMPANY,group
WASHINGTON,COMPANY,group
WASHINGTON,COMPANY,group
BURR,MEN,group
ANGELICA,WOMEN,group
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
ELIZA,COMPANY,group
ELIZA,ANGELICA,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,COMPANY,group
ELIZA,COMPANY,group
ELIZA,COMPANY,group
ELIZA,COMPANY,group
ELIZA,COMPANY,group
ELIZA,COMPANY,group
