MULLIGAN,MADISON,LAFAYETTE,JEFFERSON	1
LAURENS,PHILIP	1
ELIZA,ANGELICA,PEGGY,MARIA	1
LAURENS,LAFAYETTE,MULLIGAN	1
LAFAYETTE,LAURENS	1
LAURENS,LAFAYETTE,MULLIGAN	1
LAFAYETTE,MULLIGAN	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
MULLIGAN,LAFAYETTE,LAURENS	1
HAMILTON,LAFAYETTE,MULLIGAN,LAURENS	1
HAMILTON,LAFAYETTE,MULLIGAN,LAURENS	1
LAFAYETTE,MULLIGAN,LAURENS	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	1
